gene_symbol,ensembl_id,token_id
TSPAN6,ENSG00000000003,3
SCYL3,ENSG00000000457,6
BAD,ENSG00000002330,24
LAP3,ENSG00000002549,25
SNX11,ENSG00000002919,33
CASP10,ENSG00000003400,41
CFLAR,ENSG00000003402,42
FKBP4,ENSG00000004478,54
RBM6,ENSG00000004534,56
SLC25A13,ENSG00000004864,68
ST7,ENSG00000004866,69
CIAPIN1,ENSG00000005194,89
MYCBP2,ENSG00000005810,108
RALA,ENSG00000006451,137
ETV1,ENSG00000006468,140
TBXA2R,ENSG00000006638,150
PAF1,ENSG00000006712,155
ELAC2,ENSG00000006744,158
PAFAH1B1,ENSG00000007168,171
TRAPPC6A,ENSG00000007255,177
E2F2,ENSG00000007968,199
SYPL1,ENSG00000008282,212
CYB561,ENSG00000008283,213
UBE3C,ENSG00000009335,235
NCAPD2,ENSG00000010292,257
NISCH,ENSG00000010322,262
BTK,ENSG00000010671,271
FYN,ENSG00000010810,274
AKAP8L,ENSG00000011243,289
BRCA1,ENSG00000012048,312
UBR7,ENSG00000012963,325
MVP,ENSG00000013364,333
HEBP1,ENSG00000013583,343
MAMLD1,ENSG00000013619,345
CAPN1,ENSG00000014216,351
BID,ENSG00000015475,362
NUDCD3,ENSG00000015676,368
ATP2C1,ENSG00000017260,375
MNAT1,ENSG00000020426,403
ZDHHC6,ENSG00000023041,424
RNH1,ENSG00000023191,426
ALAS1,ENSG00000023330,430
DERA,ENSG00000023697,435
TOMM34,ENSG00000025772,452
FAS,ENSG00000026103,457
CD44,ENSG00000026508,459
PRKCH,ENSG00000027075,465
TBPL1,ENSG00000028839,476
GRN,ENSG00000030582,489
TIMP2,ENSG00000035862,527
RAI14,ENSG00000039560,563
PNKP,ENSG00000039650,565
JADE2,ENSG00000043143,598
EPHA3,ENSG00000044524,608
DSG2,ENSG00000046604,610
RFC2,ENSG00000049541,667
MCUR1,ENSG00000050393,680
MAPK9,ENSG00000050748,687
HERPUD1,ENSG00000051108,691
RRP12,ENSG00000052749,703
AKR7A2,ENSG00000053371,711
LAMA3,ENSG00000053747,717
TRAPPC3,ENSG00000054116,721
ARID4B,ENSG00000054267,726
SYNE2,ENSG00000054654,734
ATP11B,ENSG00000058063,783
TARBP1,ENSG00000059588,803
GNA15,ENSG00000060558,817
ACAA1,ENSG00000060971,826
SPAG4,ENSG00000061656,832
CDH3,ENSG00000062038,839
APPBP2,ENSG00000062725,850
GPC1,ENSG00000063660,867
LPAR2,ENSG00000064547,890
HMG20B,ENSG00000064961,907
TRAM2,ENSG00000065308,922
ERBB3,ENSG00000065361,927
ADAT1,ENSG00000065457,931
PDIA5,ENSG00000065485,932
SPEN,ENSG00000065526,935
MYLK,ENSG00000065534,936
PRKCQ,ENSG00000065675,946
MTHFD2,ENSG00000065911,953
PPP2R5A,ENSG00000066027,958
ELAVL1,ENSG00000066044,960
FGFR2,ENSG00000066468,979
ISOC1,ENSG00000066583,981
MTFR1,ENSG00000066855,991
