lincs_position,gene_id,gene_symbol,ensembl_id
1,16,AARS,ENSG00000090861
2,23,ABCF1,ENSG00000204574
3,25,ABL1,ENSG00000097007
4,30,ACAA1,ENSG00000060971
5,39,ACAT2,ENSG00000120437
6,47,ACLY,ENSG00000131473
7,102,ADAM10,ENSG00000137845
8,128,ADH5,ENSG00000197894
9,142,PARP1,ENSG00000143799
10,154,ADRB2,ENSG00000169252
11,178,AGL,ENSG00000162688
12,207,AKT1,ENSG00000142208
13,211,ALAS1,ENSG00000023330
14,226,ALDOA,ENSG00000149925
15,230,ALDOC,ENSG00000109107
16,291,SLC25A4,ENSG00000151729
17,310,ANXA7,ENSG00000138279
18,323,APBB2,ENSG00000163697
19,329,BIRC2,ENSG00000110330
20,332,BIRC5,ENSG00000089685
21,348,APOE,ENSG00000130203
22,351,APP,ENSG00000142192
23,355,FAS,ENSG00000026103
24,387,RHOA,ENSG00000067560
25,392,ARHGAP1,ENSG00000175220
26,427,ASAH1,ENSG00000104763
27,466,ATF1,ENSG00000123268
28,481,ATP1B1,ENSG00000143153
29,501,ALDH7A1,ENSG00000164904
30,533,ATP6V0B,ENSG00000117410
31,572,BAD,ENSG00000002330
32,581,BAX,ENSG00000087088
33,595,CCND1,ENSG00000110092
34,596,BCL2,ENSG00000171791
35,622,BDH1,ENSG00000161267
36,637,BID,ENSG00000015475
37,642,BLMH,ENSG00000108578
38,644,BLVRA,ENSG00000106605
39,652,BMP4,ENSG00000125378
40,664,BNIP3,ENSG00000176171
41,665,BNIP3L,ENSG00000104765
42,670,BPHL,ENSG00000137274
43,672,BRCA1,ENSG00000012048
44,695,BTK,ENSG00000010671
45,701,BUB1B,ENSG00000156970
46,727,C5,ENSG00000106804
47,780,DDR1,ENSG00000204580
48,808,CALM3,ENSG00000160014
49,813,CALU,ENSG00000128595
50,823,CAPN1,ENSG00000014216
51,831,CAST,ENSG00000153113
52,835,CASP2,ENSG00000106144
53,836,CASP3,ENSG00000164305
54,840,CASP7,ENSG00000165806
55,843,CASP10,ENSG00000003400
56,847,CAT,ENSG00000121691
57,868,CBLB,ENSG00000114423
58,873,CBR1,ENSG00000159228
59,874,CBR3,ENSG00000159231
60,890,CCNA2,ENSG00000145386
61,891,CCNB1,ENSG00000134057
62,896,CCND3,ENSG00000112576
63,899,CCNF,ENSG00000162063
64,902,CCNH,ENSG00000134480
65,949,SCARB1,ENSG00000073060
66,958,CD40,ENSG00000101017
67,960,CD44,ENSG00000026508
68,965,CD58,ENSG00000116815
69,976,ADGRE5,ENSG00000123146
70,983,CDK1,ENSG00000170312
71,991,CDC20,ENSG00000117399
72,993,CDC25A,ENSG00000164045
73,994,CDC25B,ENSG00000101224
74,998,CDC42,ENSG00000070831
75,1001,CDH3,ENSG00000062038
76,1017,CDK2,ENSG00000123374
77,1019,CDK4,ENSG00000135446
78,1021,CDK6,ENSG00000105810
79,1022,CDK7,ENSG00000134058
80,1026,CDKN1A,ENSG00000124762
81,1027,CDKN1B,ENSG00000111276
82,1029,CDKN2A,ENSG00000147889
83,1050,CEBPA,ENSG00000245848
84,1052,CEBPD,ENSG00000221869
85,1062,CENPE,ENSG00000138778
86,1070,CETN3,ENSG00000153140
87,1111,CHEK1,ENSG00000149554
88,1123,CHN1,ENSG00000128656
89,1153,CIRBP,ENSG00000099622
90,1212,CLTB,ENSG00000175416
91,1213,CLTC,ENSG00000141367
92,1277,COL1A1,ENSG00000108821
93,1282,COL4A1,ENSG00000187498
94,1385,CREB1,ENSG00000118260
95,1398,CRK,ENSG00000167193
96,1399,CRKL,ENSG00000099942
97,1429,CRYZ,ENSG00000116791
98,1445,CSK,ENSG00000103653
99,1452,CSNK1A1,ENSG00000113712
100,1454,CSNK1E,ENSG00000213923
101,1459,CSNK2A2,ENSG00000070770
102,1465,CSRP1,ENSG00000159176
103,1500,CTNND1,ENSG00000198561
104,1509,CTSD,ENSG00000117984
105,1514,CTSL,ENSG00000135047
106,1534,CYB561,ENSG00000008283
107,1605,DAG1,ENSG00000173402
108,1616,DAXX,ENSG00000204209
109,1633,DCK,ENSG00000156136
110,1635,DCTD,ENSG00000129187
111,1643,DDB2,ENSG00000134574
112,1647,GADD45A,ENSG00000116717
113,1662,DDX10,ENSG00000178105
114,1666,DECR1,ENSG00000104325
115,1676,DFFA,ENSG00000160049
116,1677,DFFB,ENSG00000169598
117,1738,DLD,ENSG00000091140
118,1759,DNM1,ENSG00000106976
119,1786,DNMT1,ENSG00000130816
120,1788,DNMT3A,ENSG00000119772
121,1802,DPH2,ENSG00000132768
122,1829,DSG2,ENSG00000046604
123,1831,TSC22D3,ENSG00000157514
124,1845,DUSP3,ENSG00000108861
125,1846,DUSP4,ENSG00000120875
126,1848,DUSP6,ENSG00000139318
127,1861,TOR1A,ENSG00000136827
128,1870,E2F2,ENSG00000007968
129,1891,ECH1,ENSG00000104823
130,1906,EDN1,ENSG00000078401
131,1950,EGF,ENSG00000138798
132,1956,EGFR,ENSG00000146648
133,1958,EGR1,ENSG00000120738
134,1978,EIF4EBP1,ENSG00000187840
135,1981,EIF4G1,ENSG00000114867
136,1983,EIF5,ENSG00000100664
137,1994,ELAVL1,ENSG00000066044
138,2017,CTTN,ENSG00000085733
139,2037,EPB41L2,ENSG00000079819
140,2042,EPHA3,ENSG00000044524
141,2048,EPHB2,ENSG00000133216
142,2058,EPRS,ENSG00000136628
143,2063,NR2F6,ENSG00000160113
144,2064,ERBB2,ENSG00000141736
145,2065,ERBB3,ENSG00000065361
146,2109,ETFB,ENSG00000105379
147,2113,ETS1,ENSG00000134954
148,2115,ETV1,ENSG00000006468
149,2131,EXT1,ENSG00000182197
150,2146,EZH2,ENSG00000106462
151,2184,FAH,ENSG00000103876
152,2185,PTK2B,ENSG00000120899
153,2195,FAT1,ENSG00000083857
154,2222,FDFT1,ENSG00000079459
155,2263,FGFR2,ENSG00000066468
156,2264,FGFR4,ENSG00000160867
157,2274,FHL2,ENSG00000115641
158,2288,FKBP4,ENSG00000004478
159,2309,FOXO3,ENSG00000118689
160,2353,FOS,ENSG00000170345
161,2356,FPGS,ENSG00000136877
162,2523,FUT1,ENSG00000174951
163,2534,FYN,ENSG00000010810
164,2542,SLC37A4,ENSG00000137700
165,2548,GAA,ENSG00000171298
166,2553,GABPB1,ENSG00000104064
167,2582,GALE,ENSG00000117308
168,2597,GAPDH,ENSG00000111640
169,2624,GATA2,ENSG00000179348
170,2625,GATA3,ENSG00000107485
171,2673,GFPT1,ENSG00000198380
172,2690,GHR,ENSG00000112964
173,2736,GLI2,ENSG00000074047
174,2745,GLRX,ENSG00000173221
175,2767,GNA11,ENSG00000088256
176,2769,GNA15,ENSG00000060558
177,2770,GNAI1,ENSG00000127955
178,2771,GNAI2,ENSG00000114353
179,2778,GNAS,ENSG00000087460
180,2810,SFN,ENSG00000175793
181,2817,GPC1,ENSG00000063660
182,2852,GPER1,ENSG00000164850
183,2886,GRB7,ENSG00000141738
184,2887,GRB10,ENSG00000106070
185,2896,GRN,ENSG00000030582
186,2908,NR3C1,ENSG00000113580
187,2920,CXCL2,ENSG00000081041
188,2946,GSTM2,ENSG00000213366
189,2954,GSTZ1,ENSG00000100577
190,2956,MSH6,ENSG00000116062
191,2958,GTF2A2,ENSG00000140307
192,2961,GTF2E2,ENSG00000197265
193,3028,HSD17B10,ENSG00000072506
194,3033,HADH,ENSG00000138796
195,3066,HDAC2,ENSG00000196591
196,3091,HIF1A,ENSG00000100644
197,3098,HK1,ENSG00000156515
198,3108,HLA-DMA,ENSG00000204257
199,3122,HLA-DRA,ENSG00000204287
200,3156,HMGCR,ENSG00000113161
201,3157,HMGCS1,ENSG00000112972
202,3162,HMOX1,ENSG00000100292
203,3202,HOXA5,ENSG00000106004
204,3206,HOXA10,ENSG00000253293
205,3251,HPRT1,ENSG00000165704
206,3280,HES1,ENSG00000114315
207,3300,DNAJB2,ENSG00000135924
208,3303,HSPA1A,ENSG00000204389
209,3308,HSPA4,ENSG00000170606
210,3312,HSPA8,ENSG00000109971
211,3315,HSPB1,ENSG00000106211
212,3329,HSPD1,ENSG00000144381
213,3337,DNAJB1,ENSG00000132002
214,3383,ICAM1,ENSG00000090339
215,3385,ICAM3,ENSG00000076662
216,3398,ID2,ENSG00000115738
217,3416,IDE,ENSG00000119912
218,3454,IFNAR1,ENSG00000142166
219,3480,IGF1R,ENSG00000140443
220,3482,IGF2R,ENSG00000197081
221,3486,IGFBP3,ENSG00000146674
