figure,analysis,group,term,estimate,ci_lo,ci_hi,p,p_adj,n,ci_level,seed
fig3/figS,bootstrap CI of mean test metric,LINCS,CheMeleon · test_cosine_sim,0.12328739369684844,0.12147676338169086,0.12526940345172585,,,,95.0,0
fig3/figS,bootstrap CI of mean test metric,LINCS,CheMeleon + dose (concat) · test_cosine_sim,0.12172199785709381,0.12001512579396112,0.12342568714593624,,,,95.0,0
fig3/figS,bootstrap CI of mean test metric,LINCS,CheMeleon + dose (gate) · test_cosine_sim,0.12328739369684844,0.12147676338169086,0.12526940345172585,,,,95.0,0
fig3/figS,bootstrap CI of mean test metric,LINCS,CheMeleon + dose (onehot) · test_cosine_sim,0.11536099761724472,0.11351232666374196,0.11718897228527286,,,,95.0,0
fig3/figS,bootstrap CI of mean test metric,LINCS,ChemBERTa-100M-MLM · test_cosine_sim,0.1132296148074037,0.11140692221110556,0.1152151575787894,,,,95.0,0
fig3/figS,bootstrap CI of mean test metric,LINCS,ChemBERTa-100M-MLM + dose (gate) · test_cosine_sim,0.1132296148074037,0.11140692221110556,0.1152151575787894,,,,95.0,0
fig3/figS,bootstrap CI of mean test metric,LINCS,ChemBERTa-5M-MLM · test_cosine_sim,0.11441820910455229,0.11273107178589294,0.11620954227113557,,,,95.0,0
fig3/figS,bootstrap CI of mean test metric,LINCS,ChemBERTa-5M-MLM + dose (gate) · test_cosine_sim,0.11441820910455229,0.11273107178589294,0.11620954227113557,,,,95.0,0
fig3/figS,bootstrap CI of mean test metric,LINCS,ChemBERTa-5M-MTR · test_cosine_sim,0.12262456228114059,0.12082614432216109,0.12449639194597298,,,,95.0,0
fig3/figS,bootstrap CI of mean test metric,LINCS,ChemBERTa-5M-MTR + dose (gate) · test_cosine_sim,0.12262456228114059,0.12082614432216109,0.12449639194597298,,,,95.0,0
fig3/figS,bootstrap CI of mean test metric,LINCS,ChemBERTa-77M-MLM · test_cosine_sim,0.123315907953977,0.12150549649824913,0.12516759629814908,,,,95.0,0
fig3/figS,bootstrap CI of mean test metric,LINCS,ChemBERTa-77M-MLM + dose (gate) · test_cosine_sim,0.123315907953977,0.12150549649824913,0.12516759629814908,,,,95.0,0
fig3/figS,bootstrap CI of mean test metric,LINCS,MCF7 · test_cosine_sim,0.1418129950761795,0.1393397992810066,0.14409594068304374,,,,95.0,0
fig3/figS,bootstrap CI of mean test metric,LINCS,MoLFormer-XL · test_cosine_sim,0.11517558779389693,0.11327803901950975,0.11714803026513256,,,,95.0,0
fig3/figS,bootstrap CI of mean test metric,LINCS,MoLFormer-XL + dose (gate) · test_cosine_sim,0.11517558779389693,0.11327803901950975,0.11714803026513256,,,,95.0,0
fig3/figS,bootstrap CI of mean test metric,LINCS,MolGen-large · test_cosine_sim,0.11667708854427214,0.11496094922461231,0.11845574662331165,,,,95.0,0
fig3/figS,bootstrap CI of mean test metric,LINCS,MolGen-large + dose (gate) · test_cosine_sim,0.11667708854427214,0.11496094922461231,0.11845574662331165,,,,95.0,0
fig3/figS,bootstrap CI of mean test metric,LINCS,Morgan_1024 · test_cosine_sim,0.12102826413206604,0.11923032766383192,0.12293272886443223,,,,95.0,0
fig3/figS,bootstrap CI of mean test metric,LINCS,Morgan_1024 + dose (concat) · test_cosine_sim,0.11486999690532684,0.1132572386365804,0.11653771911419691,,,,95.0,0
