dataset,category,label,exp_key,metric,estimate,ci_lo,ci_hi
LINCS,embedding,CheMeleon,lincs_CheMeleon_dose_gate,test_cosine_sim,0.12328739369684844,0.12147676338169086,0.12526940345172585
LINCS,dose_encoding,CheMeleon + dose (concat),lincs_CheMeleon_dose_concat,test_cosine_sim,0.12172199785709381,0.12001512579396112,0.12342568714593624
LINCS,dose_encoding,CheMeleon + dose (gate),lincs_CheMeleon_dose_gate,test_cosine_sim,0.12328739369684844,0.12147676338169086,0.12526940345172585
LINCS,dose_encoding,CheMeleon + dose (onehot),lincs_CheMeleon_dose_onehot,test_cosine_sim,0.11536099761724472,0.11351232666374196,0.11718897228527286
LINCS,embedding,ChemBERTa-100M-MLM,lincs_ChemBERTa-100M-MLM_dose_gate,test_cosine_sim,0.1132296148074037,0.11140692221110556,0.1152151575787894
LINCS,dose_encoding,ChemBERTa-100M-MLM + dose (gate),lincs_ChemBERTa-100M-MLM_dose_gate,test_cosine_sim,0.1132296148074037,0.11140692221110556,0.1152151575787894
LINCS,embedding,ChemBERTa-5M-MLM,lincs_ChemBERTa-5M-MLM_dose_gate,test_cosine_sim,0.11441820910455229,0.11273107178589294,0.11620954227113557
LINCS,dose_encoding,ChemBERTa-5M-MLM + dose (gate),lincs_ChemBERTa-5M-MLM_dose_gate,test_cosine_sim,0.11441820910455229,0.11273107178589294,0.11620954227113557
LINCS,embedding,ChemBERTa-5M-MTR,lincs_ChemBERTa-5M-MTR_dose_gate,test_cosine_sim,0.12262456228114059,0.12082614432216109,0.12449639194597298
LINCS,dose_encoding,ChemBERTa-5M-MTR + dose (gate),lincs_ChemBERTa-5M-MTR_dose_gate,test_cosine_sim,0.12262456228114059,0.12082614432216109,0.12449639194597298
LINCS,embedding,ChemBERTa-77M-MLM,lincs_ChemBERTa-77M-MLM_dose_gate,test_cosine_sim,0.123315907953977,0.12150549649824913,0.12516759629814908
LINCS,dose_encoding,ChemBERTa-77M-MLM + dose (gate),lincs_ChemBERTa-77M-MLM_dose_gate,test_cosine_sim,0.123315907953977,0.12150549649824913,0.12516759629814908
LINCS,ref_cell,MCF7,lincs_MCF7,test_cosine_sim,0.1418129950761795,0.1393397992810066,0.14409594068304374
