dataset,label,mean_pearson,mean_random_512,mean_diff,ci_lo,ci_hi,p_wilcoxon,p_adj_bh,stars,n_pairs
LINCS,default,0.1514727363681841,0.10929339669834919,0.04217933966983491,0.040316439469734865,0.04420149449724861,0.0,0.0,***,39980
LINCS,CheMeleon,0.1233526763381691,0.10929339669834919,0.014059279639819908,0.012966433216608307,0.015291158079039519,4.784382676654581e-77,1.722377763595649e-76,***,39980
LINCS,ChemBERTa-77M-MLM,0.12333791895947975,0.10929339669834919,0.014044522261130565,0.013031246873436719,0.015061787143571788,6.20620434711629e-157,5.585583912404661e-156,***,39980
LINCS,ChemBERTa-5M-MTR,0.12258904452226115,0.10929339669834919,0.013295647823911957,0.012138856928464234,0.01446457603801901,1.7566975435096927e-117,1.0540185261058156e-116,***,39980
LINCS,Morgan_1024,0.12109604802401201,0.10929339669834919,0.01180265132566283,0.010756597048524262,0.01278917583791896,8.703729497329554e-100,3.916678273798299e-99,***,39980
LINCS,Morgan_2048,0.12095172586293146,0.10929339669834919,0.011658329164582293,0.010606709604802401,0.012794528514257128,3.1853497790071683e-62,9.556049337021505e-62,***,39980
LINCS,UniMolv2-310M,0.12094147073536768,0.10929339669834919,0.011648074037018511,0.010356578289144571,0.012976769634817408,4.734375225867839e-57,1.2174107723660158e-56,***,39980
LINCS,MolGen-large,0.11676188094047024,0.10929339669834919,0.00746848424212106,0.006572998999499749,0.008338206603301652,1.735137533001669e-33,3.904059449253756e-33,***,39980
LINCS,UniMolv2-1.1B,0.11626613306653326,0.10929339669834919,0.006972736368184092,0.005752570035017508,0.008227213606803402,1.0035791952147443e-25,2.0071583904294886e-25,***,39980
LINCS,UniMolv2-570M,0.11563931965982992,0.10929339669834919,0.00634592296148074,0.005105746623311655,0.0076191908454227115,3.3370001716055924e-18,5.460545735354606e-18,***,39980
LINCS,MoLFormer-XL,0.11526713356678339,0.10929339669834919,0.005973736868434216,0.004725193846923462,0.007220116308154078,7.346602700817833e-11,9.445632043908643e-11,***,39980
LINCS,UniMolv2-84M,0.11489669834917458,0.10929339669834919,0.005603301650825412,0.004401169334667334,0.006904614807403703,3.037838647901934e-14,4.556757971852901e-14,***,39980
LINCS,ChemBERTa-5M-MLM,0.11442646323161582,0.10929339669834919,0.005133066533266634,0.0043046773386693354,0.005942577538769384,1.3011732950294404e-23,2.3421119310529927e-23,***,39980
LINCS,UniMolv2-164M,0.11389969984992496,0.10929339669834919,0.0046063031515757875,0.00362498124062031,0.005659867433716859,9.494662108071918e-05,0.00011393594529686303,***,39980
LINCS,UniMolv1-84M,0.11366058029014509,0.10929339669834919,0.004367183591795899,0.0035762318659329664,0.005199068284142071,1.068071227957587e-11,1.4788678540951206e-11,***,39980
LINCS,ChemBERTa-100M-MLM,0.11326538269134569,0.10929339669834919,0.003971985992996498,0.003012837668834417,0.004979677338669335,0.0023215423395838925,0.0024581036536770627,**,39980
LINCS,Morgan_512,0.11293496748374188,0.10929339669834919,0.0036415707853926973,0.002034379689844922,0.005296210605302651,0.0008098998068096765,0.000911137282660886,***,39980
LINCS,bert-base-smiles,0.11246723361680842,0.10929339669834919,0.0031738369184592294,0.0023513569284642323,0.0039956290645322655,0.11291777945705021,0.11291777945705023,n.s.,39980
Tahoe,default,0.7907055491180636,0.43851422685721647,0.3521913222608472,0.3481969228788464,0.35616962791296514,0.0,0.0,***,7767
