repro_bin,bin_mid,repro_center,n,model_pearson,ci_lo,ci_hi
"(-0.4, -0.3]",-0.35,-0.32973896787878787,33,0.08757575757575758,0.028787878787878793,0.14424242424242423
"(-0.3, -0.2]",-0.25,-0.23926472138078703,144,0.07840277777777778,0.053192708333333345,0.10438020833333332
"(-0.2, -0.1]",-0.15000000000000002,-0.13516166022905804,959,0.07181438998957247,0.06257377476538062,0.08069056308654848
"(-0.1, -1.11e-16]",-0.05000000000000006,-0.03456036123378864,7168,0.062428850446428576,0.05920319475446428,0.06575502232142857
"(-1.11e-16, 0.1]",0.04999999999999995,0.042641971847537756,12518,0.09864594983224156,0.09522555520051126,0.10180302364594984
"(0.1, 0.2]",0.15000000000000002,0.14115930740507407,4210,0.17876722090261282,0.17133527315914487,0.18631157957244657
"(0.2, 0.3]",0.25,0.2440376331835084,1770,0.2984689265536723,0.28582796610169486,0.3109266949152542
"(0.3, 0.4]",0.35,0.34569345925508815,916,0.4139301310043668,0.39281441048034943,0.4325215611353712
"(0.4, 0.5]",0.45,0.4463681337461823,730,0.5187260273972603,0.49983527397260274,0.5372804794520548
"(0.5, 0.6]",0.55,0.5489042875207183,496,0.6010282258064517,0.5804732862903226,0.6212777217741935
"(0.6, 0.7]",0.6499999999999999,0.6447904355505587,398,0.6423869346733668,0.6171030150753769,0.6660615577889447
"(0.7, 0.8]",0.75,0.7387950140583911,167,0.6974251497005988,0.664428143712575,0.7277934131736526
"(0.8, 0.9]",0.8500000000000001,0.8250256400000001,24,0.7104166666666667,0.61121875,0.7925000000000001
