repro_bin,bin_mid,n,n_cell_lines,test_pearson,ci_lo,ci_hi,arm
"(-0.4, -0.3]",-0.35,33,20,0.0875757575757576,0.018662121212121217,0.17077678571428567,Single draw (default)
"(-0.3, -0.2]",-0.25,144,26,0.0784027777777778,0.052312653940886696,0.11178092673182563,Single draw (default)
"(-0.2, -0.1]",-0.15000000000000002,959,56,0.07181438998957246,0.05734093019674458,0.09301819221967962,Single draw (default)
"(-0.1, -1.11e-16]",-0.05000000000000006,7168,120,0.062428850446428576,0.05751150853640642,0.07122982208006556,Single draw (default)
"(-1.11e-16, 0.1]",0.04999999999999995,12518,131,0.09864594983224156,0.09195998303424917,0.10997385640004465,Single draw (default)
"(0.1, 0.2]",0.15000000000000002,4210,122,0.1787672209026128,0.16438374339781311,0.19716702763383012,Single draw (default)
"(0.2, 0.3]",0.25,1770,118,0.2984689265536723,0.2777802292626783,0.3212243579106342,Single draw (default)
"(0.3, 0.4]",0.35,916,103,0.41393013100436676,0.38963029255132176,0.4386417677150435,Single draw (default)
"(0.4, 0.5]",0.45,730,94,0.5187260273972603,0.49040730638325203,0.5464248690013948,Single draw (default)
"(0.5, 0.6]",0.55,496,88,0.6010282258064517,0.5767469777135611,0.6229325896555254,Single draw (default)
"(0.6, 0.7]",0.6499999999999999,398,80,0.6423869346733668,0.6072818087500168,0.6723861453201971,Single draw (default)
"(0.7, 0.8]",0.75,167,47,0.6974251497005989,0.6518364244346386,0.735438810440736,Single draw (default)
"(0.8, 0.9]",0.8500000000000001,24,14,0.7104166666666666,0.5834590336134452,0.7781598297213623,Single draw (default)
"(-0.4, -0.3]",-0.35,33,20,0.08757575757575758,0.02646671826625387,0.163078125,Average of replicates
"(-0.3, -0.2]",-0.25,144,26,0.10173611111111111,0.07804574783160567,0.13,Average of replicates
"(-0.2, -0.1]",-0.15000000000000002,959,56,0.08539103232533891,0.07053195813398769,0.10653747483832283,Average of replicates
"(-0.1, -1.11e-16]",-0.05000000000000006,7168,120,0.08136718750000001,0.07535904745780671,0.09122097625718817,Average of replicates
"(-1.11e-16, 0.1]",0.04999999999999995,12518,131,0.12769531874101295,0.1180728614451314,0.13880199294038303,Average of replicates
"(0.1, 0.2]",0.15000000000000002,4210,122,0.22377672209026125,0.20683285099022372,0.24445634001188615,Average of replicates
"(0.2, 0.3]",0.25,1770,118,0.3477909604519774,0.3280803772885765,0.3694779533364571,Average of replicates
"(0.3, 0.4]",0.35,916,103,0.4686572052401747,0.4429426136853866,0.49419554752652484,Average of replicates
"(0.4, 0.5]",0.45,730,94,0.5618082191780822,0.5347649996510356,0.5876222171344546,Average of replicates
"(0.5, 0.6]",0.55,496,88,0.6430241935483871,0.6211891685736078,0.6616114016736402,Average of replicates
"(0.6, 0.7]",0.6499999999999999,398,80,0.6853768844221105,0.6559440060270763,0.7095799809587136,Average of replicates
"(0.7, 0.8]",0.75,167,47,0.7236526946107784,0.6816489888514388,0.7587726729012616,Average of replicates
"(0.8, 0.9]",0.8500000000000001,24,14,0.7366666666666667,0.6043678977272726,0.8032389112903227,Average of replicates
"(-0.4, -0.3]",-0.35,33,20,0.08696969696969697,0.03447213622291022,0.14882999999999985,Resample each epoch
"(-0.3, -0.2]",-0.25,144,26,0.088125,0.06976547821165817,0.11355395649282796,Resample each epoch
"(-0.2, -0.1]",-0.15000000000000002,959,56,0.07436913451511991,0.06055322686792875,0.09451086636908777,Resample each epoch
"(-0.1, -1.11e-16]",-0.05000000000000006,7168,120,0.06453404017857144,0.05960288685336843,0.07284191952977634,Resample each epoch
"(-1.11e-16, 0.1]",0.04999999999999995,12518,131,0.0980907493209778,0.09165281105865768,0.10798571784292277,Resample each epoch
"(0.1, 0.2]",0.15000000000000002,4210,122,0.18691923990498813,0.1726047316165064,0.20636048719777036,Resample each epoch
"(0.2, 0.3]",0.25,1770,118,0.3192485875706214,0.3013920661929936,0.3392246166951269,Resample each epoch
"(0.3, 0.4]",0.35,916,103,0.43101528384279475,0.4067318055032685,0.4550772586610866,Resample each epoch
"(0.4, 0.5]",0.45,730,94,0.5350684931506849,0.5096128274591744,0.5614523963436762,Resample each epoch
"(0.5, 0.6]",0.55,496,88,0.6211088709677419,0.597454804898298,0.641610705693774,Resample each epoch
"(0.6, 0.7]",0.6499999999999999,398,80,0.6625376884422111,0.6295454380020081,0.6894246600641313,Resample each epoch
"(0.7, 0.8]",0.75,167,47,0.7130538922155689,0.6695435331576638,0.7478809758771932,Resample each epoch
"(0.8, 0.9]",0.8500000000000001,24,14,0.72625,0.59375,0.792259946236559,Resample each epoch
