dataset,representation,distance_metric,estimate,ci_lo,ci_hi,n_pairs,n_boot
Tahoe,Random,cosine,-0.05375428177394216,-0.08086005915288426,-0.02771445652951471,5102,1000
LINCS,Random,cosine,-0.016945173628133386,-0.02956318908854583,-0.003422031184948568,20016,1000
Tahoe,UniMolv2-570M,cosine,0.022398148335744966,-0.007274348777088578,0.04881856356274418,5102,1000
LINCS,UniMolv2-570M,cosine,-0.027395190867030968,-0.040935584945994564,-0.013455352967616744,20016,1000
Tahoe,UniMolv2-1.1B,cosine,0.04803865036678559,0.025295384305130515,0.07071854911584163,5102,1000
LINCS,UniMolv2-1.1B,cosine,-0.050623347903675765,-0.06498806009014094,-0.037294817674977276,20016,1000
Tahoe,UniMolv2-84M,cosine,0.016992879941209387,-0.012265919315039677,0.04766975700171512,5102,1000
LINCS,UniMolv2-84M,cosine,-0.051555684576858336,-0.06470870114220423,-0.03774124462304025,20016,1000
Tahoe,ChemBERTa-100M-MLM,cosine,0.11998730945214199,0.0915827728725569,0.14508875985577407,5102,1000
LINCS,ChemBERTa-100M-MLM,cosine,-0.05239143850873866,-0.06712608159881293,-0.0363278704360045,20016,1000
Tahoe,UniMolv2-310M,cosine,0.05263767629287703,0.02927781525127362,0.07620603193151836,5102,1000
LINCS,UniMolv2-310M,cosine,-0.05891178065501847,-0.07209941729283101,-0.04354454068113525,20016,1000
Tahoe,UniMolv1-84M,cosine,0.1888304732393027,0.1612916168918531,0.2151844624737973,5102,1000
LINCS,UniMolv1-84M,cosine,-0.06265776899315284,-0.07605870483664198,-0.04828260380220336,20016,1000
Tahoe,ChemBERTa-5M-MLM,cosine,0.039279396341588994,0.013040140044987155,0.06740434231367158,5102,1000
LINCS,ChemBERTa-5M-MLM,cosine,-0.07014076354128607,-0.08442882215409514,-0.054884417453917096,20016,1000
Tahoe,UniMolv2-164M,cosine,0.00870500214642942,-0.01672970540972948,0.03779570141554886,5102,1000
LINCS,UniMolv2-164M,cosine,-0.07713500334264792,-0.0899694314653822,-0.06376778045342604,20016,1000
Tahoe,RDKit path,Tanimoto,0.10425297060898528,0.07854264072955293,0.13084519536216144,5102,1000
LINCS,RDKit path,Tanimoto,-0.13613977491716425,-0.1524820442283605,-0.11990981102162018,20016,1000
Tahoe,MACCS,Tanimoto,-0.02421281677801334,-0.0508295827269312,0.0034936666891435507,5102,1000
LINCS,MACCS,Tanimoto,-0.16044963326604839,-0.17656666003785534,-0.14312685253882187,20016,1000
Tahoe,ChemBERTa-77M-MLM,cosine,0.01567085993759505,-0.010300435672151005,0.04091963732977546,5102,1000
LINCS,ChemBERTa-77M-MLM,cosine,-0.17096679623141992,-0.18548648357626665,-0.15645496671788908,20016,1000
Tahoe,MolGen-large,cosine,0.047292558559566884,0.01833569042163132,0.07505551563824962,5102,1000
LINCS,MolGen-large,cosine,-0.18647655952173556,-0.20006071276235157,-0.17389237178141295,20016,1000
Tahoe,MoLFormer-XL,cosine,0.14834934316141585,0.12368683606701707,0.1741804673789506,5102,1000
LINCS,MoLFormer-XL,cosine,-0.18869125965374509,-0.20346347480146193,-0.1754293326378703,20016,1000
Tahoe,Atom pair,Tanimoto,0.14288732695217815,0.11325008111941429,0.1707708383899096,5102,1000
LINCS,Atom pair,Tanimoto,-0.20002676217795515,-0.21610942374715414,-0.18338276092092978,20016,1000
Tahoe,bert-base-smiles,cosine,0.10042765275259005,0.07487904081316435,0.12728136790889363,5102,1000
LINCS,bert-base-smiles,cosine,-0.20716601670917248,-0.22109275644741566,-0.19279376721241137,20016,1000
Tahoe,CheMeleon,cosine,0.032404123100785436,0.0053818220394654375,0.057274364320411546,5102,1000
LINCS,CheMeleon,cosine,-0.23904504127697168,-0.25338673889002356,-0.22326433087009964,20016,1000
Tahoe,ChemBERTa-5M-MTR,cosine,0.11134343396290092,0.0845261260829934,0.1376012361606406,5102,1000
LINCS,ChemBERTa-5M-MTR,cosine,-0.2593294453077804,-0.27460432821533504,-0.2441418741253538,20016,1000
Tahoe,ECFP6,Tanimoto,0.03225373520907426,-0.0076194993489612775,0.0771983968596072,5102,1000
LINCS,ECFP6,Tanimoto,-0.2760410650338123,-0.28840487386886293,-0.2637412249331576,20016,1000
