dataset,profile_type,factor,n_genes,available,q25,median,q75,mean
Tahoe,Absolute profiles,cell_line,964,True,64.01674312533419,75.2219641879015,84.9426149688288,73.40388605410169
Tahoe,Absolute profiles,plate,964,True,1.106775280007085,2.44731688786736,5.203429863990995,3.9864302826546596
Tahoe,Absolute profiles,drug,964,True,2.18629908714289,4.17635052283486,6.43953026617944,5.005193862098982
Tahoe,Absolute profiles,dose,964,True,0.00621812495940075,0.05039092829840365,0.152578211291152,0.12010181887993733
Tahoe,Absolute profiles,time,964,False,,,,
Tahoe,Absolute profiles,residual,964,True,9.647725548390124,14.96139452047065,22.62102096409765,17.48438798226473
LINCS,Absolute profiles,cell_line,978,True,41.70013937914322,53.26800940377905,65.65064701038253,53.384616131831486
LINCS,Absolute profiles,plate,978,True,10.921880694667426,15.74651486622875,21.34458774132735,16.57999772136581
LINCS,Absolute profiles,drug,978,True,0.6268126290135829,1.1572070929636151,1.9272305005900225,1.4287283714518682
LINCS,Absolute profiles,dose,978,True,0.033465802462223325,0.14507389046409752,0.552425130969903,0.6447969121816148
LINCS,Absolute profiles,time,978,True,1.6837461553661601,5.05074050002961,12.047413213391449,9.626753425941033
LINCS,Absolute profiles,residual,978,True,9.931493830564694,15.79937120562245,24.4058615587054,18.335107437228196
Tahoe,Δ profiles,cell_line,964,True,2.5386532001964777,3.612850512299725,5.3497432500694275,4.500151153927829
Tahoe,Δ profiles,plate,964,True,3.142234190846075,5.52066134660073,8.934354467716616,6.772053530662745
Tahoe,Δ profiles,drug,964,True,11.177885256145,16.3430178689538,22.88054412729855,17.858286923408457
Tahoe,Δ profiles,dose,964,True,6.709267615711494e-07,0.1970566497480275,0.6317568650164209,0.44996703852817993
Tahoe,Δ profiles,time,964,False,,,,
Tahoe,Δ profiles,residual,964,True,63.0951276574311,71.3736880950364,79.13993457454292,70.4195413534728
LINCS,Δ profiles,cell_line,978,True,0.20372227844260726,0.7736448893243625,1.351589069484835,0.9511992194355042
LINCS,Δ profiles,plate,978,True,9.373586018103104,11.6808966879785,14.125734167680525,11.481431897484516
LINCS,Δ profiles,drug,978,True,3.12304085446334,5.5171425296573755,8.54224449252404,6.217805569997682
LINCS,Δ profiles,dose,978,True,0.036886713744224524,0.1900592988106775,0.754381697535245,0.8710864387387249
LINCS,Δ profiles,time,978,True,0.0,0.398061978389265,12.555587200105625,12.707082778269944
LINCS,Δ profiles,residual,978,True,63.1717538171416,74.19532757441334,81.2820550348809,67.77139409607362
