stratification,estimate,mean,ci_low,ci_high,n_conditions,candidate_mean,candidate_min,candidate_max
Cell line,Systematic cosine,0.4295510482536114,0.3916085088725442,0.46787539674636375,7767,165.25531914893617,118,167
Cell line,Control-centered Pearson,0.7907273919217201,0.7728007748175773,0.8060536460790708,7767,165.25531914893617,118,167
Cell line,Systema-centered Pearson,0.7334689107344986,0.7134510919065544,0.7507110701235058,7767,165.25531914893617,118,167
Cell line,Systema-centered top-20 Pearson,0.8945359351869816,0.8738034655058836,0.909620883632083,7767,165.25531914893617,118,167
Cell line,BioPert centroid accuracy,0.967500182006913,0.9543119147859694,0.9789221283241031,7767,165.25531914893617,118,167
Cell line,Perturbed-mean centroid accuracy,0.5,0.44981206851044714,0.5525361842060982,7767,165.25531914893617,118,167
Cell line,Centroid accuracy gain,0.467500182006913,0.41863189995363387,0.5157278149130107,7767,165.25531914893617,118,167
Cell line + dose,Systematic cosine,0.4630743195812154,0.4295689288839738,0.4962795940136255,7767,55.08510638297872,36,56
Cell line + dose,Control-centered Pearson,0.7907273919217201,0.7728007748175773,0.8060536460790708,7767,55.08510638297872,36,56
Cell line + dose,Systema-centered Pearson,0.7263491381853301,0.707516496777432,0.7430214812124311,7767,55.08510638297872,36,56
Cell line + dose,Systema-centered top-20 Pearson,0.8876672797095094,0.8662127851093132,0.9036664377810861,7767,55.08510638297872,36,56
Cell line + dose,BioPert centroid accuracy,0.9612356242047294,0.9474300086654693,0.9731525303250235,7767,55.08510638297872,36,56
Cell line + dose,Perturbed-mean centroid accuracy,0.5,0.4467504534967398,0.5546436489531608,7767,55.08510638297872,36,56
Cell line + dose,Centroid accuracy gain,0.4612356242047294,0.4101852243052617,0.5106554052546131,7767,55.08510638297872,36,56
