exp_key,dataset,category,label,n_train,train_pearson,val_pearson,test_pearson,train_spearman,val_spearman,test_spearman,test_l2,test_cosine_sim,test_pearson_lo,test_pearson_hi,test_spearman_lo,test_spearman_hi,test_l2_lo,test_l2_hi,test_cosine_sim_lo,test_cosine_sim_hi
lincs_CheMeleon_dose_concat,LINCS,dose_encoding,CheMeleon + dose (concat),369199.0,0.1795559972524643,0.13696600496768951,0.1217930018901825,0.18319,0.135791,0.12265,14.844099998474121,0.12172199785709381,0.12008538539302269,0.12348422568523852,0.12088812062486885,0.12437469242947337,14.791623195109391,14.89353163446316,0.12001512579396112,0.12342568714593624
lincs_CheMeleon_dose_gate,LINCS,dose_encoding,CheMeleon + dose (gate),369199.0,0.16733400523662567,0.13848499953746796,0.1233526763381691,0.167411,0.13729,0.12258229114557279,14.92729539769885,0.12328739369684844,0.12155470860430213,0.12534263381690847,0.12076732741370685,0.12448951975987994,14.867194172086043,14.984325131315657,0.12147676338169086,0.12526940345172585
lincs_CheMeleon_dose_onehot,LINCS,dose_encoding,CheMeleon + dose (onehot),369199.0,0.19212700426578522,0.13576599955558777,0.11558700352907181,0.199663,0.136289,0.117674,14.918573379516602,0.11536099761724472,0.11375182158048333,0.11741512960878936,0.1158457617258283,0.11948199877925496,14.865795630114256,14.968029436168386,0.11351232666374196,0.11718897228527286
lincs_ChemBERTa-100M-MLM_dose_gate,LINCS,dose_encoding,ChemBERTa-100M-MLM + dose (gate),369199.0,0.14608800411224365,0.11952800303697586,0.11326538269134569,0.146848,0.118631,0.11287343671835919,14.996870685342671,0.1132296148074037,0.11143869434717361,0.115205383941971,0.11103826913456728,0.11485882316158079,14.935897905202603,15.055983748124062,0.11140692221110556,0.1152151575787894
lincs_ChemBERTa-5M-MLM_dose_gate,LINCS,dose_encoding,ChemBERTa-5M-MLM + dose (gate),369199.0,0.1447570025920868,0.12768900394439697,0.11442646323161582,0.142853,0.123729,0.11039444722361182,15.009412206103052,0.11441820910455229,0.1127534704852426,0.1162127376188094,0.108681471985993,0.11220215107553776,14.948694709854927,15.067799624812405,0.11273107178589294,0.11620954227113557
lincs_ChemBERTa-5M-MTR_dose_gate,LINCS,dose_encoding,ChemBERTa-5M-MTR + dose (gate),369199.0,0.17080600559711456,0.1382959932088852,0.12258904452226115,0.174495,0.139722,0.12490995497748873,15.084234867433716,0.12262456228114059,0.12077510630315158,0.1245018384192096,0.12310550275137569,0.12683334167083543,15.016450468984493,15.149171029264632,0.12082614432216109,0.12449639194597298
lincs_ChemBERTa-77M-MLM_dose_gate,LINCS,dose_encoding,ChemBERTa-77M-MLM + dose (gate),369199.0,0.158160999417305,0.13303999602794647,0.12333791895947975,0.15838,0.131806,0.12249649824912456,14.964765382691345,0.123315907953977,0.12151546398199098,0.12520243871935968,0.12071681465732867,0.12437621935967982,14.903197836418208,15.02290476488244,0.12150549649824913,0.12516759629814908
lincs_MCF7,LINCS,ref_cell,MCF7,254470.0,0.20396700501441956,0.15720100700855255,0.14170800149440765,0.211541,0.159056,0.14655,14.816253662109375,0.1418129950761795,0.13924977531455962,0.1439875385998064,0.14402977370143338,0.14882690003226254,14.76011316080564,14.870356996358945,0.1393397992810066,0.14409594068304374
lincs_MoLFormer-XL-both-10pct_dose_gate,LINCS,dose_encoding,MoLFormer-XL + dose (gate),369199.0,0.1735450029373169,0.1316719949245453,0.11526713356678339,0.175509,0.130826,0.11499374687343673,15.039126813406705,0.11517558779389693,0.11336950975487743,0.11722238619309655,0.11309424712356178,0.11691536393196597,14.979339769884943,15.09562240495248,0.11327803901950975,0.11714803026513256
lincs_MolGen-large_dose_gate,LINCS,dose_encoding,MolGen-large + dose (gate),369199.0,0.14897699654102325,0.13019299507141113,0.11676188094047024,0.14761,0.127481,0.11417633816908455,15.022397198599299,0.11667708854427214,0.1150644572286143,0.11856748999499749,0.11245861680840422,0.11601137443721861,14.961673986993496,15.081170191345675,0.11496094922461231,0.11845574662331165
lincs_Morgan_1024_dose_concat,LINCS,dose_encoding,Morgan_1024 + dose (concat),369199.0,0.16016800701618195,0.12370599806308746,0.11489599943161011,0.161202,0.122523,0.114376,14.853754043579102,0.11486999690532684,0.11326703797661511,0.1165363791557785,0.11270642989299406,0.11607504720849945,14.799909064031892,14.90350412478303,0.1132572386365804,0.11653771911419691
lincs_Morgan_1024_dose_gate,LINCS,dose_encoding,Morgan_1024 + dose (gate),369199.0,0.1661130040884018,0.13009700179100037,0.12109604802401201,0.166852,0.12924,0.1199629814907454,14.948278139069535,0.12102826413206604,0.11929588544272138,0.12297157953976989,0.11815537143571785,0.12178860055027514,14.888475306403203,15.006458285392698,0.11923032766383192,0.12293272886443223
lincs_Morgan_1024_dose_onehot,LINCS,dose_encoding,Morgan_1024 + dose (onehot),369199.0,0.15804100036621094,0.11819300055503845,0.11236099898815155,0.160962,0.119342,0.114506,14.863956451416016,0.11232099682092667,0.11078079520094608,0.11405567264958895,0.1128906813283232,0.11613456806607281,14.809735060178918,14.915483357811812,0.11072885154595913,0.11399474507410304
lincs_Morgan_2048_dose_gate,LINCS,dose_encoding,Morgan_2048 + dose (gate),369199.0,,0.12886199355125427,0.12095172586293146,,0.129059,0.12106378189094548,14.939778889444723,0.12087818909454727,0.1191676275637819,0.12290591545772887,0.1192777076038019,0.12292505002501251,14.88047241745873,14.997525075037519,0.11907378064032016,0.12285188219109557
lincs_Morgan_512_dose_gate,LINCS,dose_encoding,Morgan_512 + dose (gate),369199.0,0.23794199526309967,0.12730999290943146,0.11293496748374188,0.246495,0.127664,0.11443121560780388,15.020086043021509,0.11263406703351678,0.1108831728364182,0.11495759754877437,0.11236218734367184,0.1165066408204102,14.960031597048523,15.076473092796396,0.11058968859429717,0.11465702851425714
lincs_PC3,LINCS,ref_cell,PC3,258041.0,0.19823600351810455,0.15115100145339966,0.1351580023765564,0.206852,0.153831,0.140908,14.952486038208008,0.13525600731372833,0.13319177504677862,0.1373417323107487,0.13888731548430314,0.1431288606805424,14.900408954930816,15.008056163228533,0.1332849049412091,0.13748741019658572
lincs_average_ref,LINCS,ref_handling,average_ref,225562.0,0.2794739902019501,0.20310699939727783,0.17788299918174744,0.292341,0.205626,0.182535,14.553220748901367,0.17805799841880798,0.17550597173586793,0.18018921335667837,0.18019082666333167,0.18489165832916457,14.495780377688844,14.610778482991494,0.17563321660830414,0.1803578539269635
lincs_bert-base-smiles_dose_gate,LINCS,dose_encoding,bert-base-smiles + dose (gate),369199.0,0.14243100583553314,0.1260489970445633,0.11246723361680842,0.138805,0.121142,0.10699424712356179,15.047413456728366,0.11231865932966484,0.11064249624812408,0.11422976488244123,0.10519611680840421,0.10887970860430216,14.986362893946973,15.106165839169584,0.1104828664332166,0.11411557653826913
lincs_cellline_holdout,LINCS,holdout,cell-line holdout,194460.0,0.1890220046043396,0.1337919980287552,0.1298770010471344,0.193966,0.132395,0.130918,14.942145347595215,0.1300790011882782,0.128000763850543,0.13161288882753544,0.12901650101233203,0.1326669105466593,14.895119956745813,14.997195849438619,0.12816782164549972,0.13184221424627274
lincs_default_config,LINCS,ablation,default,225562.0,0.24677500128746033,0.1752299964427948,0.1514727363681841,0.254589,0.175163,0.15304127063531767,14.648696098049024,0.15158054027013507,0.14919139569784895,0.15390687218609303,0.15075677838919457,0.15555650950475236,14.591597304902454,14.703042152326164,0.14926176213106554,0.1540305652826413
lincs_default_repro_0,LINCS,repro,repro_0.0,116424.0,0.28216299414634705,0.15407699346542358,0.1351740062236786,0.284029,0.153493,0.137198,14.739768028259277,0.1353210061788559,0.13288305402701353,0.1373524699849925,0.13482140445222612,0.13940447098549275,14.681073355427714,14.799325406453226,0.13300741620810405,0.13756182466233116
