hgnc_id	symbol	name	locus_group	locus_type	status	location	location_sortable	alias_symbol	alias_name	prev_symbol	prev_name	gene_group	gene_group_id	date_approved_reserved	date_symbol_changed	date_name_changed	date_modified	entrez_id	ensembl_gene_id	vega_id	ucsc_id	ena	refseq_accession	ccds_id	uniprot_ids	pubmed_id	mgd_id	rgd_id	lsdb	cosmic	omim_id	mirbase	homeodb	snornabase	bioparadigms_slc	orphanet	pseudogene.org	horde_id	merops	imgt	iuphar	kznf_gene_catalog	mamit-trnadb	cd	lncrnadb	enzyme_id	intermediate_filament_db	rna_central_id	lncipedia	gtrnadb	agr	mane_select	gencc
HGNC:5	A1BG	alpha-1-B glycoprotein	protein-coding gene	gene with protein product	Approved	19q13.43	19q13.43					Immunoglobulin like domain containing	594	1989-06-30			2023-01-20	1	ENSG00000121410	OTTHUMG00000183507	uc002qsd.5		NM_130786	CCDS12976	P04217	2591067	MGI:2152878	RGD:69417			138670								I43.950												HGNC:5	"ENST00000263100.8|NM_130786.4"	
HGNC:24086	A1CF	APOBEC1 complementation factor	protein-coding gene	gene with protein product	Approved	10q11.23	10q11.23	"ACF|ASP|ACF64|ACF65|APOBEC1CF"				RNA binding motif containing	725	2007-11-23			2023-01-20	29974	ENSG00000148584	OTTHUMG00000018240	uc057tgv.1	AF271790	NM_014576		Q9NQ94	"11815617|11072063"	MGI:1917115	RGD:619834			618199																				HGNC:24086	"ENST00000373997.8|NM_014576.4"	
HGNC:7	A2M	alpha-2-macroglobulin	protein-coding gene	gene with protein product	Approved	12p13.31	12p13.31	"FWP007|S863-7|CPAMD5"				Alpha-2-macroglobulin family	2148	1986-01-01			2023-01-20	2	ENSG00000175899	OTTHUMG00000150267	uc001qvk.2	"BX647329|X68728|M11313"	NM_000014	CCDS44827	P01023	"2408344|9697696"	MGI:2449119	RGD:2004	LRG_591|http://ftp.ebi.ac.uk/pub/databases/lrgex/LRG_591.xml		103950								I39.001												HGNC:7	"ENST00000318602.12|NM_000014.6"	HGNC:7
HGNC:23336	A2ML1	alpha-2-macroglobulin like 1	protein-coding gene	gene with protein product	Approved	12p13.31	12p13.31	"FLJ25179|p170"		CPAMD9	C3 and PZP-like, alpha-2-macroglobulin domain containing 9	Alpha-2-macroglobulin family	2148	2005-07-20	2005-09-01	2016-03-07	2023-01-20	144568	ENSG00000166535	OTTHUMG00000128499	uc001quz.6	AK057908	NM_144670	"CCDS8596|CCDS73439"	A8K2U0	16298998					610627					410627			I39.007												HGNC:23336	"ENST00000299698.12|NM_144670.6"	HGNC:23336
HGNC:30005	A3GALT2	alpha 1,3-galactosyltransferase 2	protein-coding gene	gene with protein product	Approved	1p35.1	01p35.1	"IGBS3S|IGB3S"	"iGb3 synthase|isoglobotriaosylceramide synthase"	A3GALT2P	alpha 1,3-galactosyltransferase 2, pseudogene	Glycosyltransferase family 6	429	2005-05-06	2013-03-11	2013-03-11	2023-01-20	127550	ENSG00000184389	OTTHUMG00000004125	uc031plq.1		NM_001080438	CCDS60080	U3KPV4	"10854427|18630988"	MGI:2685279	RGD:727913			619850																				HGNC:30005	"ENST00000442999.3|NM_001080438.1"	
HGNC:18149	A4GALT	alpha 1,4-galactosyltransferase (P1PK blood group)	protein-coding gene	gene with protein product	Approved	22q13.2	22q13.2	"A14GALT|Gb3S|P(k)"	"Gb3 synthase|CD77 synthase|globotriaosylceramide synthase|lactosylceramide 4-alpha-galactosyltransferase"	P1	"alpha 1,4-galactosyltransferase (globotriaosylceramide synthase, P blood group)|P one antigen (P blood group)|alpha 1,4-galactosyltransferase (P blood group)"	"Alpha 1,4-glycosyltransferases|Blood group antigens"	"442|454"	2002-02-06		2023-11-07	2023-11-07	53947	ENSG00000128274	OTTHUMG00000150744	uc062ewl.1		NM_017436	CCDS14041	Q9NPC4	"10854428|20971946"	MGI:3512453	RGD:621583	LRG_795|http://ftp.ebi.ac.uk/pub/databases/lrgex/LRG_795.xml		607922															2.4.1.228					HGNC:18149	"ENST00000642412.2|NM_017436.7"	
HGNC:17968	A4GNT	alpha-1,4-N-acetylglucosaminyltransferase	protein-coding gene	gene with protein product	Approved	3q22.3	03q22.3	alpha4GnT				Alpha 1,4-glycosyltransferases	442	2004-07-12			2023-01-20	51146	ENSG00000118017	OTTHUMG00000159820	uc003ers.2	AF141315	NM_016161	CCDS3097	Q9UNA3	10430883	MGI:2143261	RGD:1590210			616709																				HGNC:17968	"ENST00000236709.4|NM_016161.3"	
HGNC:13666	AAAS	aladin WD repeat nucleoporin	protein-coding gene	gene with protein product	Approved	12q13.13	12q13.13		"aladin|Allgrove, triple-A|adracalin"		"achalasia, adrenocortical insufficiency, alacrimia (Allgrove, triple-A)|achalasia, adrenocortical insufficiency, alacrimia"	"WD repeat domain containing|Nucleoporins"	"362|1051"	2000-11-08		2015-12-14	2024-06-07	8086	ENSG00000094914	OTTHUMG00000169729	uc001scr.5	AJ289841	NM_001173466		Q9NRG9	"11062474|12196509"	MGI:2443767	RGD:1308701			605378					117613															HGNC:13666	"ENST00000209873.9|NM_015665.6"	HGNC:13666
HGNC:21298	AACS	acetoacetyl-CoA synthetase	protein-coding gene	gene with protein product	Approved	12q24.31	12q24.31	"FLJ12389|SUR-5|ACSF1"	acyl-CoA synthetase family member 1			Acyl-CoA synthetase family	40	2003-06-02			2023-01-20	65985	ENSG00000081760	OTTHUMG00000168550	uc001uhc.4	AK022451	NM_023928	CCDS9263	Q86V21	"12623130|17762044"	MGI:1926144	RGD:708522			614364															6.2.1.16					HGNC:21298	"ENST00000316519.11|NM_023928.5"	
HGNC:17	AADAC	arylacetamide deacetylase	protein-coding gene	gene with protein product	Approved	3q25.1	03q25.1	"DAC|CES5A1"			arylacetamide deacetylase (esterase)	"Lipases|Arylacetamide deacetylase family"	"464|465"	1996-12-27		2012-07-13	2023-01-20	13	ENSG00000114771	OTTHUMG00000159876	uc003eze.4	L32179	NM_001086	CCDS33877	P22760	"8063807|9299245"	MGI:1915008	RGD:631440			600338								S09.991							3.1.1.3					HGNC:17	"ENST00000232892.12|NM_001086.3"	HGNC:17
HGNC:24427	AADACL2	arylacetamide deacetylase like 2	protein-coding gene	gene with protein product	Approved	3q25.1	03q25.1	MGC72001				Arylacetamide deacetylase family	465	2005-03-18		2016-05-26	2023-01-20	344752	ENSG00000197953	OTTHUMG00000155914	uc003ezc.4	BC065724	NM_207365	CCDS3161	Q6P093	25715734	MGI:3646333	RGD:1563197																							HGNC:24427	"ENST00000356517.4|NM_207365.4"	
